#survey	data_release	source_name	schema_key
GALAH	Data Release 3	140713004001145	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140711001301023	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140711002401169	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140806004701355	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140806004701387	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140807001701174	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150606003401216	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150606003901092	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150606003901128	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150606003901142	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150207002601089	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150606003901362	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150207002601186	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150207002601253	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151227003402316	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151227003402331	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427003801031	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150207002601379	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	141231003001266	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151227003402383	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151227003402387	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427003802031	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004301054	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150410003801016	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151227004701075	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004302054	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150410003801396	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801081	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801092	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801116	galah.dr3.spectra.hermes.spectrum_1d
